Vds,Vgs,L,W,T,Id
0.0,0.0,2e-07,2e-07,0.0,-3.0062349278698506e-29
0.25,0.0,2e-07,2e-07,0.0,1.4483245592279647e-12
0.5,0.0,2e-07,2e-07,0.0,1.188835753627452e-12
0.75,0.0,2e-07,2e-07,0.0,1.6481643342639895e-12
1.0,0.0,2e-07,2e-07,0.0,2.3070818770295573e-12
1.25,0.0,2e-07,2e-07,0.0,2.7387257795251323e-12
1.5,0.0,2e-07,2e-07,0.0,3.577444020398156e-12
1.75,0.0,2e-07,2e-07,0.0,4.035249602208619e-12
2.0,0.0,2e-07,2e-07,0.0,4.6200163639117496e-12
2.25,0.0,2e-07,2e-07,0.0,4.8676083029389056e-12
2.5,0.0,2e-07,2e-07,0.0,5.59306985637445e-12
2.75,0.0,2e-07,2e-07,0.0,5.926149103653738e-12
3.0,0.0,2e-07,2e-07,0.0,6.944626362342935e-12
0.0,0.0,2e-07,2e-07,25.0,-1.2131235605453026e-28
0.25,0.0,2e-07,2e-07,25.0,1.0038261631944662e-12
0.5,0.0,2e-07,2e-07,25.0,1.6858840138173782e-12
0.75,0.0,2e-07,2e-07,25.0,2.338475470180539e-12
1.0,0.0,2e-07,2e-07,25.0,2.950735573159958e-12
1.25,0.0,2e-07,2e-07,25.0,3.5860635989299557e-12
1.5,0.0,2e-07,2e-07,25.0,4.32834361242247e-12
1.75,0.0,2e-07,2e-07,25.0,5.008359280678822e-12
2.0,0.0,2e-07,2e-07,25.0,6.1747514848570826e-12
2.25,0.0,2e-07,2e-07,25.0,6.815072869878286e-12
2.5,0.0,2e-07,2e-07,25.0,7.1467112694090635e-12
2.75,0.0,2e-07,2e-07,25.0,9.081256126422382e-12
3.0,0.0,2e-07,2e-07,25.0,9.410469378887003e-12
0.0,0.0,2e-07,2e-07,50.0,-1.3545111147727307e-28
0.25,0.0,2e-07,2e-07,50.0,2.317272481063485e-12
0.5,0.0,2e-07,2e-07,50.0,3.266201413139203e-12
0.75,0.0,2e-07,2e-07,50.0,4.153896816639874e-12
1.0,0.0,2e-07,2e-07,50.0,5.226535286052058e-12
1.25,0.0,2e-07,2e-07,50.0,6.094680843032942e-12
1.5,0.0,2e-07,2e-07,50.0,7.236655448790111e-12
1.75,0.0,2e-07,2e-07,50.0,9.311164022671975e-12
2.0,0.0,2e-07,2e-07,50.0,9.949059452366808e-12
2.25,0.0,2e-07,2e-07,50.0,1.1799650129784107e-11
2.5,0.0,2e-07,2e-07,50.0,1.3712359351184622e-11
2.75,0.0,2e-07,2e-07,50.0,1.4716917759270835e-11
3.0,0.0,2e-07,2e-07,50.0,1.7169045484115055e-11
0.0,0.0,2e-07,4e-07,0.0,-8.427519619403253e-29
0.25,0.0,2e-07,4e-07,0.0,9.938534222053039e-13
0.5,0.0,2e-07,4e-07,0.0,1.6454127602003211e-12
0.75,0.0,2e-07,4e-07,0.0,2.2975572075245863e-12
1.0,0.0,2e-07,4e-07,0.0,2.8566188629148724e-12
1.25,0.0,2e-07,4e-07,0.0,3.447081100000978e-12
1.5,0.0,2e-07,4e-07,0.0,3.980911239994195e-12
1.75,0.0,2e-07,4e-07,0.0,5.08912554566232e-12
2.0,0.0,2e-07,4e-07,0.0,5.829345466586302e-12
2.25,0.0,2e-07,4e-07,0.0,6.68077150988917e-12
2.5,0.0,2e-07,4e-07,0.0,7.507266116586401e-12
2.75,0.0,2e-07,4e-07,0.0,8.200671583039947e-12
3.0,0.0,2e-07,4e-07,0.0,9.447757285442041e-12
0.0,0.0,2e-07,4e-07,25.0,-6.797791671568636e-29
0.25,0.0,2e-07,4e-07,25.0,1.962513914179713e-12
0.5,0.0,2e-07,4e-07,25.0,2.8937823866903683e-12
0.75,0.0,2e-07,4e-07,25.0,3.854122171382264e-12
1.0,0.0,2e-07,4e-07,25.0,4.306871490481854e-12
1.25,0.0,2e-07,4e-07,25.0,5.07741788334812e-12
1.5,0.0,2e-07,4e-07,25.0,6.5660391590553005e-12
1.75,0.0,2e-07,4e-07,25.0,7.501239481692564e-12
2.0,0.0,2e-07,4e-07,25.0,8.219555191900335e-12
2.25,0.0,2e-07,4e-07,25.0,9.564596722589373e-12
2.5,0.0,2e-07,4e-07,25.0,1.1169718516935794e-11
2.75,0.0,2e-07,4e-07,25.0,1.1635006976900128e-11
3.0,0.0,2e-07,4e-07,25.0,1.3878625027414238e-11
0.0,0.0,2e-07,4e-07,50.0,-2.227092238211082e-27
0.25,0.0,2e-07,4e-07,50.0,1.1625316334277174e-11
0.5,0.0,2e-07,4e-07,50.0,1.4768118796896196e-11
0.75,0.0,2e-07,4e-07,50.0,1.687199102936542e-11
1.0,0.0,2e-07,4e-07,50.0,1.9834884823634505e-11
1.25,0.0,2e-07,4e-07,50.0,2.3318264627314738e-11
1.5,0.0,2e-07,4e-07,50.0,2.779678174363387e-11
1.75,0.0,2e-07,4e-07,50.0,3.1464914070014907e-11
2.0,0.0,2e-07,4e-07,50.0,3.457902493610789e-11
2.25,0.0,2e-07,4e-07,50.0,3.975913657539485e-11
2.5,0.0,2e-07,4e-07,50.0,4.738960353823704e-11
2.75,0.0,2e-07,4e-07,50.0,5.1204551200994056e-11
3.0,0.0,2e-07,4e-07,50.0,5.896750723650723e-11
0.0,0.0,2e-07,1e-06,0.0,-3.053786517658208e-29
0.25,0.0,2e-07,1e-06,0.0,1.692879361768422e-12
0.5,0.0,2e-07,1e-06,0.0,2.2719653625280185e-12
0.75,0.0,2e-07,1e-06,0.0,3.1973217706634432e-12
1.0,0.0,2e-07,1e-06,0.0,3.858531069341704e-12
1.25,0.0,2e-07,1e-06,0.0,4.574480035972575e-12
1.5,0.0,2e-07,1e-06,0.0,5.560938485868129e-12
1.75,0.0,2e-07,1e-06,0.0,6.21740813709348e-12
2.0,0.0,2e-07,1e-06,0.0,7.1713277022046845e-12
2.25,0.0,2e-07,1e-06,0.0,8.263226680165869e-12
2.5,0.0,2e-07,1e-06,0.0,8.83356932870451e-12
2.75,0.0,2e-07,1e-06,0.0,1.019081129644829e-11
3.0,0.0,2e-07,1e-06,0.0,1.0740397909171861e-11
0.0,0.0,2e-07,1e-06,25.0,-7.056025782435552e-28
0.25,0.0,2e-07,1e-06,25.0,4.070948093624904e-12
0.5,0.0,2e-07,1e-06,25.0,4.844712987921251e-12
0.75,0.0,2e-07,1e-06,25.0,6.2283923415587996e-12
1.0,0.0,2e-07,1e-06,25.0,7.874184389762883e-12
1.25,0.0,2e-07,1e-06,25.0,8.76864521025642e-12
1.5,0.0,2e-07,1e-06,25.0,1.036197087126351e-11
1.75,0.0,2e-07,1e-06,25.0,1.22548515119715e-11
2.0,0.0,2e-07,1e-06,25.0,1.3698066219746186e-11
2.25,0.0,2e-07,1e-06,25.0,1.51706974584721e-11
2.5,0.0,2e-07,1e-06,25.0,1.7218037338534765e-11
2.75,0.0,2e-07,1e-06,25.0,1.824817784799731e-11
3.0,0.0,2e-07,1e-06,25.0,2.1397415918741553e-11
0.0,0.0,2e-07,1e-06,50.0,5.833667613835383e-28
0.25,0.0,2e-07,1e-06,50.0,1.302738404839592e-11
0.5,0.0,2e-07,1e-06,50.0,1.4605854972629414e-11
0.75,0.0,2e-07,1e-06,50.0,1.73585521833054e-11
1.0,0.0,2e-07,1e-06,50.0,2.0705060023634224e-11
1.25,0.0,2e-07,1e-06,50.0,2.338811712820275e-11
1.5,0.0,2e-07,1e-06,50.0,2.665205413024828e-11
1.75,0.0,2e-07,1e-06,50.0,3.1989539529175125e-11
2.0,0.0,2e-07,1e-06,50.0,3.3669232712079666e-11
2.25,0.0,2e-07,1e-06,50.0,3.930872592580462e-11
2.5,0.0,2e-07,1e-06,50.0,4.490807525323208e-11
2.75,0.0,2e-07,1e-06,50.0,4.747487565956938e-11
3.0,0.0,2e-07,1e-06,50.0,5.4566599160688e-11
0.0,0.0,4e-07,2e-07,0.0,-9.267124862472831e-29
0.25,0.0,4e-07,2e-07,0.0,1.038276534529338e-12
0.5,0.0,4e-07,2e-07,0.0,1.7290478618413354e-12
0.75,0.0,4e-07,2e-07,0.0,2.3033836693445996e-12
1.0,0.0,4e-07,2e-07,0.0,2.732381617517814e-12
1.25,0.0,4e-07,2e-07,0.0,3.345847553555952e-12
1.5,0.0,4e-07,2e-07,0.0,4.132754680948785e-12
1.75,0.0,4e-07,2e-07,0.0,4.693285849865949e-12
2.0,0.0,4e-07,2e-07,0.0,5.336384476691782e-12
2.25,0.0,4e-07,2e-07,0.0,6.170388082074495e-12
2.5,0.0,4e-07,2e-07,0.0,6.8236678394451694e-12
2.75,0.0,4e-07,2e-07,0.0,7.492745364458483e-12
3.0,0.0,4e-07,2e-07,0.0,7.9138395142265e-12
0.0,0.0,4e-07,2e-07,25.0,-6.051296014220449e-29
0.25,0.0,4e-07,2e-07,25.0,1.9403799136656007e-12
0.5,0.0,4e-07,2e-07,25.0,2.5975257791261067e-12
0.75,0.0,4e-07,2e-07,25.0,3.420618672492582e-12
1.0,0.0,4e-07,2e-07,25.0,3.982343005819647e-12
1.25,0.0,4e-07,2e-07,25.0,5.028191699030202e-12
1.5,0.0,4e-07,2e-07,25.0,5.482397762924663e-12
1.75,0.0,4e-07,2e-07,25.0,6.3109786473632615e-12
2.0,0.0,4e-07,2e-07,25.0,7.215858819777508e-12
2.25,0.0,4e-07,2e-07,25.0,7.478016245824919e-12
2.5,0.0,4e-07,2e-07,25.0,8.223838121438428e-12
2.75,0.0,4e-07,2e-07,25.0,9.467268905010151e-12
3.0,0.0,4e-07,2e-07,25.0,1.0823389493141923e-11
0.0,0.0,4e-07,2e-07,50.0,-1.6279546607834663e-28
0.25,0.0,4e-07,2e-07,50.0,2.0294635205244615e-12
0.5,0.0,4e-07,2e-07,50.0,2.6821273441346433e-12
0.75,0.0,4e-07,2e-07,50.0,3.266065584117141e-12
1.0,0.0,4e-07,2e-07,50.0,3.966288832170597e-12
1.25,0.0,4e-07,2e-07,50.0,4.432490067796052e-12
1.5,0.0,4e-07,2e-07,50.0,5.025987928756667e-12
1.75,0.0,4e-07,2e-07,50.0,5.910767918054777e-12
2.0,0.0,4e-07,2e-07,50.0,6.4215083256327984e-12
2.25,0.0,4e-07,2e-07,50.0,7.617821939625606e-12
2.5,0.0,4e-07,2e-07,50.0,8.353126913820378e-12
2.75,0.0,4e-07,2e-07,50.0,8.807733147577388e-12
3.0,0.0,4e-07,2e-07,50.0,9.864850741050199e-12
0.0,0.0,4e-07,4e-07,0.0,-1.0291674627752823e-28
0.25,0.0,4e-07,4e-07,0.0,7.628528582077729e-13
0.5,0.0,4e-07,4e-07,0.0,1.3088266046135868e-12
0.75,0.0,4e-07,4e-07,0.0,1.8024360499164246e-12
1.0,0.0,4e-07,4e-07,0.0,2.247672751865776e-12
1.25,0.0,4e-07,4e-07,0.0,3.0583453089687287e-12
1.5,0.0,4e-07,4e-07,0.0,3.4157157942169403e-12
1.75,0.0,4e-07,4e-07,0.0,3.933876896799877e-12
2.0,0.0,4e-07,4e-07,0.0,4.580711687848319e-12
2.25,0.0,4e-07,4e-07,0.0,5.194938104067816e-12
2.5,0.0,4e-07,4e-07,0.0,5.507241557147985e-12
2.75,0.0,4e-07,4e-07,0.0,6.14190939239314e-12
3.0,0.0,4e-07,4e-07,0.0,6.983854470525253e-12
0.0,0.0,4e-07,4e-07,25.0,-1.914912903367721e-27
0.25,0.0,4e-07,4e-07,25.0,4.37617505142934e-12
0.5,0.0,4e-07,4e-07,25.0,5.317716719311185e-12
0.75,0.0,4e-07,4e-07,25.0,5.973513591594398e-12
1.0,0.0,4e-07,4e-07,25.0,7.13452410582533e-12
1.25,0.0,4e-07,4e-07,25.0,7.987525918030571e-12
1.5,0.0,4e-07,4e-07,25.0,9.30613262337505e-12
1.75,0.0,4e-07,4e-07,25.0,1.0372710020229026e-11
2.0,0.0,4e-07,4e-07,25.0,1.1187975202785036e-11
2.25,0.0,4e-07,4e-07,25.0,1.2155296185560429e-11
2.5,0.0,4e-07,4e-07,25.0,1.311113614001245e-11
2.75,0.0,4e-07,4e-07,25.0,1.506509619412265e-11
3.0,0.0,4e-07,4e-07,25.0,1.6450271901415992e-11
0.0,0.0,4e-07,4e-07,50.0,-9.465563271247034e-28
0.25,0.0,4e-07,4e-07,50.0,6.240147862223313e-12
0.5,0.0,4e-07,4e-07,50.0,7.27752939076148e-12
0.75,0.0,4e-07,4e-07,50.0,8.587547279887508e-12
1.0,0.0,4e-07,4e-07,50.0,9.815588931267356e-12
1.25,0.0,4e-07,4e-07,50.0,1.1017108726137474e-11
1.5,0.0,4e-07,4e-07,50.0,1.1838619813150515e-11
1.75,0.0,4e-07,4e-07,50.0,1.2585754433808399e-11
2.0,0.0,4e-07,4e-07,50.0,1.4326188237742263e-11
2.25,0.0,4e-07,4e-07,50.0,1.6109316821593756e-11
2.5,0.0,4e-07,4e-07,50.0,1.687036611729689e-11
2.75,0.0,4e-07,4e-07,50.0,1.8397518592214238e-11
3.0,0.0,4e-07,4e-07,50.0,1.8941269404714197e-11
0.0,0.0,4e-07,1e-06,0.0,-2.22743857409101e-28
0.25,0.0,4e-07,1e-06,0.0,1.1703820736542172e-12
0.5,0.0,4e-07,1e-06,0.0,1.7314864104939231e-12
0.75,0.0,4e-07,1e-06,0.0,2.206537811870098e-12
1.0,0.0,4e-07,1e-06,0.0,2.872694895538459e-12
1.25,0.0,4e-07,1e-06,0.0,3.4407954798417994e-12
1.5,0.0,4e-07,1e-06,0.0,4.176790557588887e-12
1.75,0.0,4e-07,1e-06,0.0,4.753590973651363e-12
2.0,0.0,4e-07,1e-06,0.0,5.5187018927331846e-12
2.25,0.0,4e-07,1e-06,0.0,5.978221984129001e-12
2.5,0.0,4e-07,1e-06,0.0,6.714752262696113e-12
2.75,0.0,4e-07,1e-06,0.0,6.860277851876544e-12
3.0,0.0,4e-07,1e-06,0.0,7.979226668203138e-12
0.0,0.0,4e-07,1e-06,25.0,-4.58215381461822e-28
0.25,0.0,4e-07,1e-06,25.0,7.170944925858312e-12
0.5,0.0,4e-07,1e-06,25.0,8.01586986388733e-12
0.75,0.0,4e-07,1e-06,25.0,9.115724467522339e-12
1.0,0.0,4e-07,1e-06,25.0,1.0857165489752296e-11
1.25,0.0,4e-07,1e-06,25.0,1.2092710367504692e-11
1.5,0.0,4e-07,1e-06,25.0,1.3139342240338137e-11
1.75,0.0,4e-07,1e-06,25.0,1.4636731578299842e-11
2.0,0.0,4e-07,1e-06,25.0,1.5578070520422356e-11
2.25,0.0,4e-07,1e-06,25.0,1.6449684373570737e-11
2.5,0.0,4e-07,1e-06,25.0,1.8745294494858902e-11
2.75,0.0,4e-07,1e-06,25.0,1.97931230525465e-11
3.0,0.0,4e-07,1e-06,25.0,2.177508403071246e-11
0.0,0.0,4e-07,1e-06,50.0,-7.522311923967577e-28
0.25,0.0,4e-07,1e-06,50.0,1.0903693452653937e-11
0.5,0.0,4e-07,1e-06,50.0,1.2306647548262081e-11
0.75,0.0,4e-07,1e-06,50.0,1.2726904509832154e-11
1.0,0.0,4e-07,1e-06,50.0,1.4841892857088895e-11
1.25,0.0,4e-07,1e-06,50.0,1.5700048865420067e-11
1.5,0.0,4e-07,1e-06,50.0,1.7690184758710384e-11
1.75,0.0,4e-07,1e-06,50.0,1.9189307428686638e-11
2.0,0.0,4e-07,1e-06,50.0,1.977777647908449e-11
2.25,0.0,4e-07,1e-06,50.0,2.2734102132460882e-11
2.5,0.0,4e-07,1e-06,50.0,2.5051498896961387e-11
2.75,0.0,4e-07,1e-06,50.0,2.6246946260384632e-11
3.0,0.0,4e-07,1e-06,50.0,2.8203981817586453e-11
0.0,0.0,1e-06,2e-07,0.0,-1.4835325219522697e-28
0.25,0.0,1e-06,2e-07,0.0,1.250145179635463e-12
0.5,0.0,1e-06,2e-07,0.0,1.7415858148560978e-12
0.75,0.0,1e-06,2e-07,0.0,2.409819392683291e-12
1.0,0.0,1e-06,2e-07,0.0,2.9217610167909393e-12
1.25,0.0,1e-06,2e-07,0.0,3.5283816583099155e-12
1.5,0.0,1e-06,2e-07,0.0,4.1832803717477356e-12
1.75,0.0,1e-06,2e-07,0.0,4.453014342073692e-12
2.0,0.0,1e-06,2e-07,0.0,5.1297328799262235e-12
2.25,0.0,1e-06,2e-07,0.0,5.790536296555087e-12
2.5,0.0,1e-06,2e-07,0.0,6.408479659187584e-12
2.75,0.0,1e-06,2e-07,0.0,7.160999996958592e-12
3.0,0.0,1e-06,2e-07,0.0,7.369867690686968e-12
0.0,0.0,1e-06,2e-07,25.0,4.34005631926915e-28
0.25,0.0,1e-06,2e-07,25.0,2.8273905148231505e-12
0.5,0.0,1e-06,2e-07,25.0,3.350980588965015e-12
0.75,0.0,1e-06,2e-07,25.0,4.407748265555238e-12
1.0,0.0,1e-06,2e-07,25.0,5.0461456774953254e-12
1.25,0.0,1e-06,2e-07,25.0,5.713087345623708e-12
1.5,0.0,1e-06,2e-07,25.0,5.94885372754635e-12
1.75,0.0,1e-06,2e-07,25.0,6.894148106915674e-12
2.0,0.0,1e-06,2e-07,25.0,7.950499404568337e-12
2.25,0.0,1e-06,2e-07,25.0,8.653959154260791e-12
2.5,0.0,1e-06,2e-07,25.0,8.986933948436018e-12
2.75,0.0,1e-06,2e-07,25.0,1.0145124569941591e-11
3.0,0.0,1e-06,2e-07,25.0,1.0720132577044481e-11
0.0,0.0,1e-06,2e-07,50.0,-1.2779614299555562e-28
0.25,0.0,1e-06,2e-07,50.0,2.644967746421328e-12
0.5,0.0,1e-06,2e-07,50.0,3.2942998558893165e-12
0.75,0.0,1e-06,2e-07,50.0,4.069710013181076e-12
1.0,0.0,1e-06,2e-07,50.0,4.594886403695398e-12
1.25,0.0,1e-06,2e-07,50.0,5.368334531686675e-12
1.5,0.0,1e-06,2e-07,50.0,6.0031948924979125e-12
1.75,0.0,1e-06,2e-07,50.0,6.589129238942452e-12
2.0,0.0,1e-06,2e-07,50.0,7.541907938924528e-12
2.25,0.0,1e-06,2e-07,50.0,8.02894417435087e-12
2.5,0.0,1e-06,2e-07,50.0,8.518033468309461e-12
2.75,0.0,1e-06,2e-07,50.0,9.274443841269337e-12
3.0,0.0,1e-06,2e-07,50.0,1.0236779505036839e-11
0.0,0.0,1e-06,4e-07,0.0,-9.78041190147633e-29
0.25,0.0,1e-06,4e-07,0.0,9.092101585934027e-13
0.5,0.0,1e-06,4e-07,0.0,1.4162340088705453e-12
0.75,0.0,1e-06,4e-07,0.0,1.9265468785445444e-12
1.0,0.0,1e-06,4e-07,0.0,2.405680388282143e-12
1.25,0.0,1e-06,4e-07,0.0,3.0929609274430253e-12
1.5,0.0,1e-06,4e-07,0.0,3.4858545676932793e-12
1.75,0.0,1e-06,4e-07,0.0,4.108484552634719e-12
2.0,0.0,1e-06,4e-07,0.0,4.587381787920626e-12
2.25,0.0,1e-06,4e-07,0.0,4.817015878466947e-12
2.5,0.0,1e-06,4e-07,0.0,5.74629440914099e-12
2.75,0.0,1e-06,4e-07,0.0,6.234979567344092e-12
3.0,0.0,1e-06,4e-07,0.0,6.4114538838897055e-12
0.0,0.0,1e-06,4e-07,25.0,-3.68091766565817e-30
0.25,0.0,1e-06,4e-07,25.0,1.8995492327859464e-12
0.5,0.0,1e-06,4e-07,25.0,2.3551807582697334e-12
0.75,0.0,1e-06,4e-07,25.0,3.091074077445897e-12
1.0,0.0,1e-06,4e-07,25.0,3.6056659506674592e-12
1.25,0.0,1e-06,4e-07,25.0,3.973040596328197e-12
1.5,0.0,1e-06,4e-07,25.0,4.9261732472642355e-12
1.75,0.0,1e-06,4e-07,25.0,5.523381643251683e-12
2.0,0.0,1e-06,4e-07,25.0,5.829614231135127e-12
2.25,0.0,1e-06,4e-07,25.0,6.7409726464042726e-12
2.5,0.0,1e-06,4e-07,25.0,7.093022409878436e-12
2.75,0.0,1e-06,4e-07,25.0,7.736428058230995e-12
3.0,0.0,1e-06,4e-07,25.0,8.661639197025455e-12
0.0,0.0,1e-06,4e-07,50.0,-1.2230084120172268e-27
0.25,0.0,1e-06,4e-07,50.0,4.759391807480803e-12
0.5,0.0,1e-06,4e-07,50.0,5.1358005906974924e-12
0.75,0.0,1e-06,4e-07,50.0,6.199080052203639e-12
1.0,0.0,1e-06,4e-07,50.0,6.978752878388483e-12
1.25,0.0,1e-06,4e-07,50.0,7.382281973467686e-12
1.5,0.0,1e-06,4e-07,50.0,8.547635965430563e-12
1.75,0.0,1e-06,4e-07,50.0,8.824484060941207e-12
2.0,0.0,1e-06,4e-07,50.0,9.75484675242835e-12
2.25,0.0,1e-06,4e-07,50.0,1.02298760730293e-11
2.5,0.0,1e-06,4e-07,50.0,1.1745018108827006e-11
2.75,0.0,1e-06,4e-07,50.0,1.2107924367338757e-11
3.0,0.0,1e-06,4e-07,50.0,1.3256681305469339e-11
0.0,0.0,1e-06,1e-06,0.0,-1.185459568418946e-28
0.25,0.0,1e-06,1e-06,0.0,2.0085644591524516e-12
0.5,0.0,1e-06,1e-06,0.0,2.5498064482540075e-12
0.75,0.0,1e-06,1e-06,0.0,3.094520577972121e-12
1.0,0.0,1e-06,1e-06,0.0,3.941040155631181e-12
1.25,0.0,1e-06,1e-06,0.0,4.360890557624805e-12
1.5,0.0,1e-06,1e-06,0.0,4.884462220020988e-12
1.75,0.0,1e-06,1e-06,0.0,5.530217307317204e-12
2.0,0.0,1e-06,1e-06,0.0,6.006285064112594e-12
2.25,0.0,1e-06,1e-06,0.0,6.651996605215621e-12
2.5,0.0,1e-06,1e-06,0.0,7.332755754908524e-12
2.75,0.0,1e-06,1e-06,0.0,7.34891688572645e-12
3.0,0.0,1e-06,1e-06,0.0,8.800800481876346e-12
0.0,0.0,1e-06,1e-06,25.0,-3.1302480843900613e-28
0.25,0.0,1e-06,1e-06,25.0,4.778586880279461e-12
0.5,0.0,1e-06,1e-06,25.0,5.223942833622703e-12
0.75,0.0,1e-06,1e-06,25.0,6.2684379659840516e-12
1.0,0.0,1e-06,1e-06,25.0,6.9071926727571475e-12
1.25,0.0,1e-06,1e-06,25.0,7.681503142907273e-12
1.5,0.0,1e-06,1e-06,25.0,8.732379491598209e-12
1.75,0.0,1e-06,1e-06,25.0,9.355458296567948e-12
2.0,0.0,1e-06,1e-06,25.0,1.0280941407975728e-11
2.25,0.0,1e-06,1e-06,25.0,1.1478664102988287e-11
2.5,0.0,1e-06,1e-06,25.0,1.1450820519794675e-11
2.75,0.0,1e-06,1e-06,25.0,1.2370308309826014e-11
3.0,0.0,1e-06,1e-06,25.0,1.3030729145287925e-11
0.0,0.0,1e-06,1e-06,50.0,-7.524904303623183e-29
0.25,0.0,1e-06,1e-06,50.0,4.503510349466028e-12
0.5,0.0,1e-06,1e-06,50.0,5.1857468400441995e-12
0.75,0.0,1e-06,1e-06,50.0,6.2211558031277425e-12
1.0,0.0,1e-06,1e-06,50.0,6.6807080229067716e-12
1.25,0.0,1e-06,1e-06,50.0,7.248124859450406e-12
1.5,0.0,1e-06,1e-06,50.0,8.766893498025009e-12
1.75,0.0,1e-06,1e-06,50.0,8.712320873761607e-12
2.0,0.0,1e-06,1e-06,50.0,9.63362375358981e-12
2.25,0.0,1e-06,1e-06,50.0,1.0451166718110583e-11
2.5,0.0,1e-06,1e-06,50.0,1.1289165844613736e-11
2.75,0.0,1e-06,1e-06,50.0,1.2362992549529994e-11
3.0,0.0,1e-06,1e-06,50.0,1.2487760739763949e-11
0.0,0.25,2e-07,2e-07,0.0,-9.834461810702871e-26
0.25,0.25,2e-07,2e-07,0.0,3.536450543982016e-10
0.5,0.25,2e-07,2e-07,0.0,4.3259811987027056e-10
0.75,0.25,2e-07,2e-07,0.0,5.507804921104722e-10
1.0,0.25,2e-07,2e-07,0.0,6.907831937306221e-10
1.25,0.25,2e-07,2e-07,0.0,8.608514750334214e-10
1.5,0.25,2e-07,2e-07,0.0,1.0310865381964018e-09
1.75,0.25,2e-07,2e-07,0.0,1.1677993079822392e-09
2.0,0.25,2e-07,2e-07,0.0,1.5328106221444214e-09
2.25,0.25,2e-07,2e-07,0.0,1.8342377111545928e-09
2.5,0.25,2e-07,2e-07,0.0,2.280654992157261e-09
2.75,0.25,2e-07,2e-07,0.0,2.6386213696037754e-09
3.0,0.25,2e-07,2e-07,0.0,2.9466348278226948e-09
0.0,0.25,2e-07,2e-07,25.0,-7.437493235650195e-26
0.25,0.25,2e-07,2e-07,25.0,3.1379459321392883e-10
0.5,0.25,2e-07,2e-07,25.0,3.767301378155311e-10
0.75,0.25,2e-07,2e-07,25.0,4.757908683180036e-10
1.0,0.25,2e-07,2e-07,25.0,5.752352646407663e-10
1.25,0.25,2e-07,2e-07,25.0,6.864430316449095e-10
1.5,0.25,2e-07,2e-07,25.0,8.084771417021947e-10
1.75,0.25,2e-07,2e-07,25.0,9.701947601149449e-10
2.0,0.25,2e-07,2e-07,25.0,1.1442872847047794e-09
2.25,0.25,2e-07,2e-07,25.0,1.389689756756611e-09
2.5,0.25,2e-07,2e-07,25.0,1.608482713746952e-09
2.75,0.25,2e-07,2e-07,25.0,1.949093546846243e-09
3.0,0.25,2e-07,2e-07,25.0,2.295204862615882e-09
0.0,0.25,2e-07,2e-07,50.0,7.695872692625577e-30
0.25,0.25,2e-07,2e-07,50.0,7.157529019075051e-10
0.5,0.25,2e-07,2e-07,50.0,9.158621396620979e-10
0.75,0.25,2e-07,2e-07,50.0,1.0383296041060689e-09
1.0,0.25,2e-07,2e-07,50.0,1.3077007125844752e-09
1.25,0.25,2e-07,2e-07,50.0,1.5393074646268734e-09
1.5,0.25,2e-07,2e-07,50.0,1.8094714576124464e-09
1.75,0.25,2e-07,2e-07,50.0,1.9733534080348787e-09
2.0,0.25,2e-07,2e-07,50.0,2.356996519488752e-09
2.25,0.25,2e-07,2e-07,50.0,2.6851155195513586e-09
2.5,0.25,2e-07,2e-07,50.0,2.984646902558528e-09
2.75,0.25,2e-07,2e-07,50.0,3.5218436478410303e-09
3.0,0.25,2e-07,2e-07,50.0,4.080360489544234e-09
0.0,0.25,2e-07,4e-07,0.0,3.9075592160615194e-30
0.25,0.25,2e-07,4e-07,0.0,4.482593454491731e-10
0.5,0.25,2e-07,4e-07,0.0,5.59556360346805e-10
0.75,0.25,2e-07,4e-07,0.0,6.711299806775388e-10
1.0,0.25,2e-07,4e-07,0.0,8.472178388918428e-10
1.25,0.25,2e-07,4e-07,0.0,9.52749035125352e-10
1.5,0.25,2e-07,4e-07,0.0,1.1993282183071968e-09
1.75,0.25,2e-07,4e-07,0.0,1.4329542099255492e-09
2.0,0.25,2e-07,4e-07,0.0,1.6161651419251186e-09
2.25,0.25,2e-07,4e-07,0.0,1.868444103426049e-09
2.5,0.25,2e-07,4e-07,0.0,2.196312841164625e-09
2.75,0.25,2e-07,4e-07,0.0,2.6375725270560095e-09
3.0,0.25,2e-07,4e-07,0.0,3.08977759561219e-09
0.0,0.25,2e-07,4e-07,25.0,-3.641896523212072e-26
0.25,0.25,2e-07,4e-07,25.0,7.842224624371977e-10
0.5,0.25,2e-07,4e-07,25.0,9.201865906599082e-10
0.75,0.25,2e-07,4e-07,25.0,1.119864366974936e-09
1.0,0.25,2e-07,4e-07,25.0,1.316218330498299e-09
1.25,0.25,2e-07,4e-07,25.0,1.5718846093421722e-09
1.5,0.25,2e-07,4e-07,25.0,1.8425401084717193e-09
1.75,0.25,2e-07,4e-07,25.0,2.0346796171743703e-09
2.0,0.25,2e-07,4e-07,25.0,2.4147182012524854e-09
2.25,0.25,2e-07,4e-07,25.0,2.6965104582367655e-09
2.5,0.25,2e-07,4e-07,25.0,3.114523792429741e-09
2.75,0.25,2e-07,4e-07,25.0,3.5726733025790967e-09
3.0,0.25,2e-07,4e-07,25.0,4.039604922718563e-09
0.0,0.25,2e-07,4e-07,50.0,1.9290854392062526e-26
